AAPL,60.95270365999997,-11.865026060000048,-39.38702742000005
AMZN,70.47506442000001,-15.824967599999988,-39.891427359999945
GOOGL,39.410415020000016,-3.108691160000029,-45.41160895999999
JNJ,-10.337417059999881,-12.60718427999988,30.89858020000002
KO,-3.2854011800000213,0.3592010000000067,-5.893206279999967
META,33.895581039999946,49.92666695999986,-65.29961078
MSFT,72.20812579999999,-21.118789580000115,-21.890959100000003
PG,28.26601955999993,5.867339000000018,-13.722973460000034
V,10.683776960000072,-41.09080016000005,-24.321610659999944
WMT,-7.077377019999948,2.37422291999999,-10.975007160000047
