Date,Open,High,Low,Close,Volume,MACD,Signal Line,RSI,ATR,OBV,CMF,Buy,Predicted buy
2020-01-02,1.535,1.6175,1.5175,1.5775,17814400,0.0041227641455021,-0.0043219495696445,64.66165413533835,0.0924999999999999,-146604800,0.1281670267886127,False,False
2020-01-03,1.5525,1.5625,1.46,1.47,14175600,0.0024188046092918,-0.0029737987338572,54.93421052631579,0.0955357142857142,-160780400,0.0881280791934157,False,False
2020-01-06,1.45,1.4775,1.4,1.4625,13579200,0.0004579382534657,-0.0022874513363926,56.80272108843536,0.0942857142857142,-174359600,0.1008825262683354,False,False
2020-01-07,1.4425,1.4575,1.36,1.38,20912000,-0.0076647683017083,-0.0033629147294558,50.31055900621117,0.0980357142857142,-195271600,0.0358794162554055,True,False
2020-01-08,1.3725,1.4625,1.3525,1.43,22517600,-0.0099527604084492,-0.0046808838652545,44.05594405594406,0.0953571428571428,-172754000,0.0870557899706219,False,True
2020-01-09,1.455,1.455,1.37,1.3875,10572000,-0.0150222384361413,-0.0067491547794318,39.590443686006815,0.0953571428571428,-183326000,0.0064251495448655,False,False
2020-01-10,1.39,1.4,1.345,1.3575,11125600,-0.0212160204984512,-0.0096425279232357,39.32203389830509,0.0955357142857142,-194451600,-0.0304494546754303,False,False
2020-01-13,1.3575,1.4025,1.3325,1.3575,14500800,-0.0258269207410193,-0.0128794064867924,40.27777777777776,0.0958928571428571,-208952400,-0.0513616482193842,False,True
2020-01-14,1.195,1.25,1.1325,1.1775,50247600,-0.0435040998969797,-0.0190043451688299,36.02484472049689,0.1024999999999999,-259200000,-0.0823945754396649,False,False
2020-01-15,1.165,1.1825,1.1375,1.1525,19924400,-0.0588522704619403,-0.026973930227452,36.82539682539682,0.1016071428571428,-279124400,-0.1025346684196617,True,False
2020-01-16,1.1525,1.1775,1.13,1.155,17148400,-0.0700070790759475,-0.0355805599971511,37.49999999999999,0.1003571428571428,-261976000,-0.1379841108366728,True,True
2020-01-17,1.145,1.1875,1.1275,1.1875,16078000,-0.0753562074307854,-0.0435356894838779,29.09090909090908,0.0941071428571428,-245898000,-0.1182580629354391,False,True
2020-01-21,1.1875,1.1875,1.1375,1.1475,14128400,-0.0818792429517465,-0.0512044001774516,21.26865671641789,0.0889285714285714,-260026400,-0.1087341569074211,False,True
2020-01-22,1.1375,1.16,1.115,1.14,10510000,-0.0866550771296876,-0.0582945355678988,21.428571428571416,0.0849999999999999,-270536400,-0.0654763957418733,True,True
2020-01-23,1.1375,1.16,1.115,1.155,7520800,-0.0882127241109269,-0.0642781732765045,16.06425702811245,0.0810714285714285,-263015600,-0.0029351386087856,False,False
2020-01-24,1.16,1.16,1.0625,1.08,16654400,-0.0944107355735968,-0.0703046857359229,16.9491525423729,0.0796428571428571,-279670000,0.0048624118684748,False,False
2020-01-27,1.05,1.0875,1.04,1.07,8490000,-0.0989885424395222,-0.0760414570766428,16.877637130801702,0.0774999999999999,-288160000,0.0039086958815199,False,True
2020-01-28,1.075,1.075,1.045,1.0525,8579600,-0.1028430800987003,-0.0814017816810543,18.957345971564,0.0723214285714285,-296739600,-0.1063101935553702,False,False
2020-01-29,1.055,1.08,1.0325,1.0325,6210400,-0.1062864576937974,-0.0863787168836029,10.050251256281411,0.0678571428571428,-302950000,-0.1585251334610267,False,True
2020-01-30,1.025,1.03,0.97,0.9825,12026000,-0.1117616229584028,-0.0914552980985629,9.900990099009904,0.06625,-314976000,-0.1532167454429798,False,False
