Date,Open,High,Low,Close,Adj Close,Volume,MACD,Signal Line,Histogram,Upper Band,Lower Band,Buy,Predicted buy
2019-10-11,131.139999,132.619995,130.820007,131.330002,119.820595,7161400,0.1972806996967619,0.2398343768729257,-0.0425536771761637,133.56343230448965,127.83057089551032,False,
2019-10-14,131.360001,131.360001,130.419998,130.720001,119.264038,5700000,0.1752146448064877,0.2269104304596381,-0.0516957856531503,133.57026109854266,127.94174290145736,True,
2019-10-15,133.0,134.25,132.100006,132.839996,121.198235,10008800,0.3250460873305485,0.2465375618338202,0.0785085254967283,133.82659789820934,128.00240590179067,True,
2019-10-16,134.899994,136.589996,133.800003,135.169998,123.324051,12434200,0.6246002706490685,0.3221501035968699,0.3024501670521986,134.61670323264647,127.68829996735352,True,
2019-10-17,135.960007,137.490005,135.649994,136.169998,124.236404,8434000,0.9319478470877982,0.4441096522950556,0.4878381947927426,135.54027615772816,127.3707267422718,False,
2019-10-18,133.309998,134.389999,127.699997,127.699997,116.508698,25868700,0.4864571466100358,0.4525791511580517,0.0338779954519841,135.67188969311843,126.84411350688156,True,
2019-10-21,128.669998,129.669998,127.059998,128.020004,116.800659,13823600,0.1574099237672044,0.3935453056798823,-0.2361353819126778,135.70828452751817,126.43571857248187,True,
2019-10-22,128.759995,130.539993,128.089996,129.199997,117.877243,7613700,-0.0080539565086894,0.3132254532421679,-0.3212794097508574,135.65839904058384,126.25060345941614,True,
2019-10-23,129.660004,130.479996,129.070007,129.899994,118.515907,6693400,-0.0817589002404304,0.2342285825456482,-0.3159874827860787,135.62736621402723,126.1726351859728,False,
2019-10-24,130.419998,130.580002,126.099998,127.5,116.326225,12111600,-0.3300257262383468,0.1213777207888492,-0.4514034470271961,135.71898720213284,125.9460135978672,True,
2019-10-25,127.830002,129.100006,127.309998,128.350006,117.101746,6947300,-0.4529690488721769,0.006508366856644,-0.4594774157288209,135.73174679796728,125.90825400203272,True,
