Size,Year 1,Year 2,Year 3
23,17.200003000000002,10.439991000000028,12.939978000000124
21,-6.140005000000009,-10.260039000000056,-21.980052000000057
24,12.759934999999963,-1.7200230000000616,-4.740012000000007
25,10.859982999999993,-2.8800429999999793,8.499912000000037
22,0.43999699999994135,1.2600089999999469,13.219938000000084
27,-9.74001300000004,-21.340035000000093,-29.280106000000075
28,1.3399890000000383,-7.240032999999947,-3.360044000000002
26,-10.380026999999977,-10.280013000000046,2.199999999999946
29,4.079984999999986,-1.500019000000016,5.89994800000008
30,-8.32001900000001,3.5999490000000307,11.839966000000103
31,-5.900000999999968,-13.38001099999996,-1.3800019999999478
32,-0.2599870000000024,-3.4199730000000343,-11.080016000000015
33,-10.160023000000002,2.119933000000067,3.3799280000000635
34,-30.20000100000005,-15.499980999999998,3.1999900000000707
35,-0.7800130000000038,4.420017000000051,2.1599680000000916
36,-3.5399789999999953,10.179991000000037,-3.2000259999999088
37,14.98001299999995,29.400020999999946,45.65998999999998
38,-2.2599689999999484,3.4000710000000183,7.260088000000067
39,-2.7599950000000106,-4.439980999999982,4.36001800000011
40,11.019996999999996,21.460044999999944,14.720065999999989
41,5.7200329999999795,8.340053000000005,12.060034000000016
42,-6.4599950000000845,0.3600429999999122,-19.579977999999997
43,-11.67994700000002,-11.559935000000031,-8.799919999999986
44,3.6799929999999605,3.2199529999999683,10.89995200000007
45,10.98002100000003,11.740029000000042,3.799970000000201
47,8.839976999999969,12.259980999999947,26.159930000000074
46,23.46004699999998,16.300018999999942,5.000025999999963
48,-5.9399670000000455,-0.09998700000002003,9.319972000000107
49,-7.540021000000046,2.939978999999987,15.959964000000085
50,0.6200269999999861,0.05999699999997432,7.139984000000041
51,-6.859955000000049,-3.9999790000000033,-17.67995399999998
52,-31.839979000000007,-26.63999500000005,-22.039997999999912
53,-19.180005000000016,-23.25999700000002,-9.099964000000043
54,-22.01997100000002,-23.95996300000001,-30.859973999999966
56,-10.739976999999975,-8.319970999999889,-11.519999999999897
55,9.02005899999994,6.660040999999957,8.780025999999964
57,-16.680005000000058,-23.479983000000054,-40.20001600000006
58,9.199987000000014,20.82001900000008,12.18004800000007
59,10.960046999999939,12.280072999999966,-9.439944000000011
60,-1.640049000000026,0.5999269999999584,-10.300082000000032
61,-5.939983000000062,-9.399971000000072,-9.77995999999996
62,-28.98000900000003,-30.459979000000025,-37.359981999999945
63,-3.400017000000041,-4.700009000000001,-21.960047999999986
64,-9.49998700000004,-17.079989000000033,-19.98003799999995
65,-9.559991000000004,-8.97999100000002,-22.12002800000006
66,-8.240005000000046,-15.000007000000032,-24.159991999999974
67,15.419986999999985,14.70002499999999,1.3400220000000616
68,14.940038999999906,13.620054999999958,0.6000239999999053
69,-5.80000900000001,-18.480028999999995,-27.40002199999992
70,33.11997099999997,41.87998300000009,35.84
71,-11.580039000000035,-4.760059000000005,-14.720052000000038
72,-33.180067000000015,-26.42005900000006,-45.94006399999999
73,-24.199951000000034,-15.499961000000006,-35.119938000000005
74,-20.040003000000034,-28.25998700000003,-29.080003999999988
75,-18.500000999999976,-17.77997700000001,-43.18002199999988
76,-28.960003000000064,-30.79998700000008,-42.179986000000014
77,-10.720003000000027,-13.420012999999962,-35.340033999999946
78,-22.600037000000036,-22.180029000000026,-41.42001600000003
79,11.200018999999962,20.560057000000008,4.560065999999978
81,-32.61998900000004,-43.75998899999997,-54.33997000000005
80,-18.64000700000002,-28.400004999999986,-44.499949999999984
82,9.1000229999999,3.059972999999964,1.0199439999998958
83,1.4599469999999215,8.139910999999906,2.4199540000000326
84,7.100010999999959,4.740020999999963,2.259970000000024
85,-13.219988999999977,-13.019981000000008,-30.560030000000026
86,6.6200169999999545,9.200029000000008,-0.8199720000000212
87,-12.759951000000079,-18.959949000000016,-23.399934000000002
88,-16.040049000000046,-20.960001000000098,-25.080022000000113
89,-1.2400150000000068,6.639990999999945,9.099954000000068
90,-3.8600070000000457,-6.080009000000054,3.2799700000000627
91,1.6999470000000727,1.0399330000001115,-4.300091999999822
92,-17.080014999999953,-13.9800269999999,-10.100003999999856
93,2.1399950000000345,13.859983000000064,14.919958000000008
94,31.880029,38.620032999999985,28.860032000000004
95,-9.080016999999934,-9.400014999999932,-16.639985999999908
96,-4.780009,-18.98002300000004,-28.439996000000036
97,6.779976999999995,-1.2600509999999687,-17.04006000000001
98,-17.72003100000004,-20.80003300000005,-47.62001600000002
99,-24.600007000000012,-22.080034999999974,-40.72001399999988
100,-18.059969000000017,-9.379967,-31.159993999999912
101,11.360014999999983,7.900026999999945,-5.819974000000002
102,5.199982999999939,11.719954999999963,-11.420038000000048
103,11.900011,11.740036999999965,1.1800280000000072
104,14.359980999999998,21.73997500000001,4.419990000000084
105,3.9799709999999138,6.93999499999989,6.620003999999923
106,0.640009000000056,6.72000900000004,-2.4799919999998963
107,-17.50001700000002,-17.019990999999983,-41.03995400000002
108,-5.660007000000043,-5.840037000000017,-11.680048000000014
109,-32.68000300000009,-36.37997900000007,-28.999971999999985
110,-17.679997000000064,-31.540023000000012,-25.580041999999963
111,-12.700005000000026,-19.57997100000005,-36.719982
112,-9.640009000000056,5.76001899999995,-7.0999499999999784
114,-8.900011000000013,-9.88003299999999,-12.28005800000011
113,3.6599789999999857,7.859984999999988,-7.259989999999959
115,11.279970999999982,9.879977000000018,-6.699983999999915
116,7.840000999999923,6.520000999999944,3.340041999999869
117,24.339998999999956,30.220010999999893,28.78001199999983
118,16.70004899999993,13.920050999999908,15.320033999999893
119,23.039976999999915,28.039954999999928,6.1399759999999475
120,0.379993000000006,-3.800000999999959,-22.500023999999996
