Size,Precision,Year 1 Balance,Year 2 Balance,Year 3 Balance
10,51.153324287652644,-51.35498999999993,-30.65507300000013,-58.97515199999992
15,47.76119402985074,33.39001599999996,21.6098249999999,61.32984399999965
20,50.61058344640435,-89.68998599999995,-137.95008899999985,-127.77006399999996
25,50.47489823609227,-38.31497799999998,-55.33501299999999,-58.4548599999999
30,48.575305291723204,25.15501999999998,15.634931000000137,107.67485200000016
35,49.796472184531886,6.22501800000002,3.3849769999998642,46.26495799999982
40,48.71099050203528,-37.214952,53.10497699999978,110.72511599999987
45,48.575305291723204,33.19501200000015,107.39501700000015,74.03512000000025
50,49.525101763907735,-80.33001399999985,-24.849959,-51.54990999999963
55,51.153324287652644,-41.60997799999994,-41.89001499999988,3.569980000000257
60,49.796472184531886,-60.65998399999992,-10.079943000000128,12.500107999999813
65,47.15447154471545,22.494981999999936,54.65498099999991,143.29509199999993
70,48.78048780487805,-5.565016000000071,2.9749249999999847,13.874970000000104
75,46.205962059620596,-12.794985999999895,73.96503700000024,125.60505200000019
80,48.1029810298103,-21.570058000000103,6.130018999999891,86.97000400000013
85,48.6449864498645,24.02495800000007,15.024943000000135,57.76490600000021
90,49.59349593495935,-52.38504599999992,-52.925052999999835,-1.885077999999723
95,49.66078697421981,-83.97501799999985,-23.215040999999857,6.204966000000226
100,48.78048780487805,-36.024987999999894,42.014991000000066,72.83505600000021
