Date,Open,High,Low,Close,Adj Close,Volume,MACD,Signal Line,Histogram,Upper Band,Lower Band,Buy,Predicted buy
2019-11-22,65.647499,65.794998,65.209999,65.445,64.01725,65325200,1.7538300142939107,1.9946181606657647,-0.2407881463718544,68.19228792936852,61.033213470631495,True,
2019-11-25,65.677498,66.610001,65.629997,66.592499,65.139717,84020400,1.7213101012610892,1.93995654878483,-0.2186464475237408,68.33324674674955,61.32525445325044,False,
2019-11-26,66.735001,66.790001,65.625,66.072502,64.631065,105207600,1.634734225223852,1.8789120840726343,-0.2441778588487826,68.0806399891581,62.10286161084191,True,
2019-11-27,66.394997,66.995003,66.327499,66.959999,65.499199,65235600,1.619072154536866,1.826944098165481,-0.2078719436286149,67.72711828695509,63.070883313044895,False,
2019-11-29,66.650002,67.0,66.474998,66.8125,65.354904,46617600,1.5765840347161628,1.7768720854756177,-0.2002880507594546,67.486978539127,63.773273160873,False,
2019-12-02,66.817497,67.0625,65.862503,66.040001,64.599274,94487200,1.4637050002729808,1.7142386684350903,-0.2505336681621095,67.42161151825636,64.04714008174366,False,
2019-12-03,64.577499,64.8825,64.072502,64.862503,63.447456,114430400,1.2646551470736256,1.6243219641627975,-0.3596668170891719,67.37592896041872,64.1415729395813,True,
2019-12-04,65.267502,65.827499,65.169998,65.434998,64.007469,67181600,1.139961499728571,1.5274498712759523,-0.3874883715473813,67.28761566370049,64.34513593629951,True,
2019-12-05,65.947502,66.472504,65.682503,66.394997,64.946526,74424400,1.1058571492476543,1.4431313268702928,-0.3372741776226382,67.22888810690331,64.61236339309669,True,
2019-12-06,66.870003,67.75,66.824997,67.677498,66.201035,106075600,1.16884262793927,1.3882735870840883,-0.2194309591448182,67.48980853822965,64.63344296177033,False,
2019-12-09,67.5,67.699997,66.227501,66.730003,65.274223,128042400,1.1292864345730038,1.3364761565818717,-0.2071897220088676,67.51809983323508,64.7746515667649,True,
2019-12-10,67.150002,67.517502,66.464996,67.120003,65.655708,90420400,1.1165368650173946,1.292488298268976,-0.1759514332515814,67.63213308760282,64.8176183123972,True,
2019-12-11,67.202499,67.775002,67.125,67.692497,66.215706,78756800,1.139492856220059,1.2618892098591927,-0.1223963536391337,67.84134445573272,64.8286568442673,True,
2019-12-12,66.945,68.139999,66.830002,67.864998,66.384445,137310400,1.15825340937063,1.24116204976148,-0.0829086403908501,68.07155322612803,64.77319787387196,True,
2019-12-13,67.864998,68.824997,67.732498,68.787498,67.286835,133587600,1.2333421229858177,1.2395980644063476,-0.00625594142053,68.49502520953553,64.6624752904645,True,
2019-12-16,69.25,70.197502,69.245003,69.964996,68.438629,128186000,1.3720485952143946,1.266088170567957,0.1059604246464376,69.19452756778054,64.31547233221946,True,
2019-12-17,69.892502,70.442497,69.699997,70.102501,68.573143,114158400,1.4760549356189614,1.3080815235781578,0.1679734120408036,69.78385089697916,64.05889890302085,False,
2019-12-18,69.949997,70.474998,69.779999,69.934998,68.409302,116028400,1.5273581831083618,1.3519368554841986,0.1754213276241631,70.24562306758035,63.93337633241966,True,
2019-12-19,69.875,70.294998,69.737503,70.004997,68.477776,98369200,1.55573120968144,1.392695726323647,0.1630354833577929,70.64843295229561,63.9513160477044,False,
2019-12-20,70.557503,70.662498,69.639999,69.860001,68.335922,275978000,1.548665025832079,1.4238895862253336,0.1247754396067457,70.94013143152867,64.09536746847132,True,
2019-12-23,70.1325,71.0625,70.092499,71.0,69.451073,98572000,1.6164203287896155,1.4623957347381902,0.1540245940514255,71.40607441197189,64.1849244880281,True,
2019-12-24,71.172501,71.222504,70.730003,71.067497,69.517097,48478800,1.6564685994396484,1.501210307678482,0.1552582917611664,71.86303236651115,64.17546633348884,True,
2019-12-26,71.205002,72.495003,71.175003,72.477501,70.896332,93121200,1.7814472661946468,1.557257699381715,0.2241895668129316,72.55012881515724,64.12886978484276,False,
2019-12-27,72.779999,73.4925,72.029999,72.449997,70.869415,146266000,1.8568695804192716,1.6171800755892265,0.2396895048300449,73.1492603647214,64.07873803527859,True,
2019-12-30,72.364998,73.172501,71.305,72.879997,71.290047,144114400,1.92910222455059,1.6795645053814994,0.2495377191690906,73.74739927763046,64.08734882236955,True,
2019-12-31,72.482498,73.419998,72.379997,73.412498,71.810921,100805600,2.0061893933195734,1.7448894829691142,0.2612999103504592,74.31271930471495,64.25927849528505,True,
2020-01-02,74.059998,75.150002,73.797501,75.087502,73.449387,135480400,2.1773413187844994,1.8313798501321912,0.3459614686523082,75.0062532531786,64.5882444468214,False,False
2020-01-03,74.287498,75.144997,74.125,74.357498,72.735321,146322800,2.2283877638777057,1.9107814328812944,0.3176063309964114,75.40744593076474,65.07930176923526,True,True
