Size,Year 1,Year 2,Year 3
23,-21.686963000000105,-66.83457000000016,-16.311487000000113
21,127.19409499999995,85.0855940000003,124.12353100000023
22,29.703971000000053,50.65656999999979,59.271608999999756
25,51.82502900000017,21.472520000000003,-11.388396999999856
26,16.76610299999996,3.0846000000000515,70.18154899999996
24,70.9939929999999,79.54842999999991,92.92239699999993
28,-0.8649269999999376,11.813566000000009,103.97847900000005
27,25.01102899999998,50.778509999999784,82.83247499999987
29,49.49199299999995,68.36464199999963,72.2266749999998
30,22.38400299999992,40.56659199999959,-21.560391000000237
32,18.680002999999857,9.32846799999956,62.3334409999994
33,-19.420978999999818,-10.51337599999971,132.68054100000043
31,30.51706500000003,40.98150400000006,100.66938100000024
34,29.208983000000018,33.66759800000003,40.15665100000021
35,-12.298949000000107,11.620577999999625,42.53557099999978
36,-3.331915000000066,38.04260199999973,54.96757699999981
37,19.458950999999928,35.99758799999992,33.64053099999998
38,41.9470529999999,99.58359399999975,125.34560299999968
40,-15.622946999999982,-9.120325999999949,-24.720371
39,101.2660110000001,96.75957000000017,102.8465450000001
41,44.954132999999814,43.20470999999989,27.916707000000002
42,48.81388700000008,33.491529999999955,-2.1784710000000302
43,110.616941,38.9835480000001,-50.95047099999985
44,2.643004999999931,21.970484000000084,-2.2775849999999593
45,130.64396299999999,92.62760999999995,126.32759099999994
46,104.6760930000001,67.36472199999992,20.231742999999938
47,69.6479469999999,72.21056200000012,74.80752100000035
48,117.411993,104.28048600000017,170.54541300000002
49,58.49798299999992,71.29647399999999,37.0154050000001
50,86.86401499999997,63.363708000000116,99.96973300000025
51,138.94700899999972,137.92847799999961,115.9525229999997
52,102.65690699999982,121.41746999999992,201.26638299999988
53,100.11005899999995,77.04864799999993,81.33467100000003
54,64.47197300000002,88.26359599999992,115.26152900000015
55,34.12106499999999,45.238607999999886,75.22459299999986
56,72.60099899999992,3.8574359999996943,77.67837899999981
57,78.66902300000004,87.96656000000002,128.05849700000024
58,119.14207899999988,165.4756899999999,186.42775099999992
59,67.34704699999989,104.47557400000002,183.83554899999993
60,74.70815099999999,51.47368199999988,41.82166099999989
61,32.57511900000006,-1.8102980000000173,-21.223299000000026
62,102.96301500000018,74.74066400000007,77.64270900000024
63,67.11201099999988,51.58862199999976,-33.62330300000022
64,55.446101000000084,86.69672600000038,60.8707210000004
65,89.32099699999998,125.05869200000006,96.34066700000015
66,68.70102500000016,91.25354399999995,25.762630999999942
67,30.09104899999994,23.018648000000155,-30.596336999999664
68,53.02605899999986,-7.889336000000185,-62.94427500000032
69,93.33401300000006,86.5974679999999,46.542437000000035
70,83.89000100000013,36.024512000000385,-86.25351899999967
71,95.51899899999992,43.16358199999988,5.9105530000000215
72,105.90100100000004,52.31965999999997,-12.513384999999943
73,93.45308100000005,40.59167600000018,30.358683000000156
74,66.88496500000022,52.91058600000028,-14.97238099999953
75,162.72401299999993,160.52053800000002,97.20150700000028
76,47.00900500000003,20.229637999999937,-6.761399000000068
77,104.84600900000015,100.4966120000002,-19.05737099999982
78,123.33701500000024,115.19861400000008,73.47464500000012
79,83.00703700000017,-1.9503379999996753,38.27364300000025
80,128.43801900000014,157.62862200000004,108.99569300000009
81,88.86796699999996,57.498487999999895,-21.735482999999903
82,95.33697900000013,77.77866000000009,-3.7902909999999395
83,110.61600900000008,73.50748800000014,68.10950700000002
84,77.40299500000009,26.762550000000033,-56.25050499999995
85,124.32601500000007,32.27852199999998,-134.2214629999999
86,61.95298500000007,4.025520000000029,-137.46248899999998
87,50.39801899999998,-10.871423999999934,23.218603000000115
88,8.1729949999999,-62.33154800000017,-95.04355900000002
89,85.86210500000033,49.80667600000044,38.60561500000051
90,82.21092500000012,39.97362600000022,-17.215434999999758
91,86.90794300000033,63.02543000000054,-0.7784969999993052
92,85.01900499999988,-0.7544379999999933,-100.0254469999999
93,52.127029000000306,-16.91635999999974,-56.298450999999716
94,39.55197700000005,-32.421441999999985,-62.67637899999991
95,32.61403900000002,-55.229541999999896,-146.34856900000003
96,80.54994299999987,-4.963450000000023,-125.87240899999992
97,33.952936999999935,44.7964079999999,-66.58169900000007
98,54.175100999999756,-38.9874480000002,-107.47546100000011
99,116.91502499999976,62.46249999999989,-12.443503000000106
100,85.52800299999984,-6.3164780000001315,-24.808377000000064
101,33.341981000000004,-16.34549999999993,-153.65353699999994
102,150.937909,102.73554000000024,-80.02642299999988
103,52.92500899999996,0.44239600000000223,-104.38858499999978
104,157.46485899999993,63.788428000000124,17.5424730000002
105,97.4689110000001,109.96335000000028,36.07036300000033
106,87.64797500000003,46.621564000000205,-60.77441099999956
107,60.218919000000085,46.37242600000019,-37.890530999999754
108,125.1899710000001,116.16452200000018,32.76558900000023
109,62.717968999999925,-6.113483999999914,-77.1654709999998
110,174.88294699999992,111.74344200000004,35.541471000000115
111,116.75093500000011,73.39152200000026,-17.999428999999623
112,105.19793100000004,40.53828600000014,-85.86174099999982
113,90.67789500000003,28.046389999999803,-101.42752500000009
114,85.50086700000003,4.8264500000000226,-61.166572999999744
115,18.13499299999998,-38.931453999999775,-37.793490999999676
116,47.824926999999946,-5.208499999999901,-7.149496999999798
117,66.72195100000008,37.66146000000023,-18.45552099999989
118,22.158953000000167,-0.41549399999996695,-6.73154699999975
119,86.08797900000005,8.286496000000085,-86.18449099999992
120,71.52501299999994,28.80741799999987,21.280462999999827
