Date,Open,High,Low,Close,Volume,MACD,Signal Line,RSI,ATR,OBV,CMF,Buy,Predicted buy
2020-01-02,124.5,124.730003,122.940002,123.410004,8130800,0.5690074213355274,0.7980712093807476,43.184284727214354,1.4592852857142833,88010000,-0.047060987475113,False,False
2020-01-03,122.160004,123.529999,121.860001,122.580002,7970500,0.3599502493933642,0.710447017383271,39.95962858459279,1.444284785714284,80039500,-0.1030999154976943,True,True
2020-01-06,122.57,123.190002,122.379997,122.75,6674400,0.2056181146877662,0.60948123684417,35.18514584837288,1.3628567857142844,86713900,-0.1589735491006878,False,False
2020-01-07,122.879997,123.209999,121.870003,121.989998,7583400,0.0217324579846405,0.4919314810722641,31.8781431523138,1.387142214285713,79130500,-0.1720170123835935,True,True
2020-01-08,122.190002,123.43,122.0,122.510002,5385100,-0.0811033637398424,0.3773245121098428,36.16601126404502,1.3707134285714275,84515600,-0.2109463813906903,True,False
2020-01-09,122.510002,123.879997,122.510002,123.849998,5944000,-0.0538542170710911,0.291088766273656,49.21257781013127,1.312855857142857,90459600,-0.1452928217186513,True,True
2020-01-10,123.900002,124.32,123.300003,123.970001,3927100,-0.0223185583754172,0.2284073013438413,44.93064297259493,1.2928559999999991,94386700,-0.1363952184706599,True,False
2020-01-13,124.0,124.900002,123.809998,124.879997,8409200,0.0752354825784777,0.1977729375907686,47.56095231010448,1.250713428571429,102795900,-0.0624402153804707,False,True
2020-01-14,124.650002,125.199997,124.480003,124.690002,7829700,0.1356530305329073,0.1853489561791964,48.90281948224786,1.22142742857143,94966200,-0.1137825662748232,True,True
2020-01-15,125.059998,126.120003,125.010002,125.959999,4843700,0.2827531147646311,0.2048297878962833,53.51710677831958,1.2714277857142864,99809900,-0.0552576144180117,True,False
2020-01-16,126.110001,126.779999,125.589996,126.07,6233700,0.4035552193363401,0.2445748741842947,53.99812022276986,1.2935710714285722,106043600,-0.0787484100060017,True,False
2020-01-17,126.349998,127.0,125.879997,126.410004,11315200,0.5207246491935393,0.2998048291861436,51.58419927461329,1.296428285714286,117358800,-0.0364299018300815,False,False
2020-01-21,126.410004,126.620003,124.839996,126.089996,8553100,0.5810621723102258,0.3560562978109601,59.2045118156183,1.284286142857143,108805700,-0.038217963226936,True,False
2020-01-22,126.330002,126.68,125.830002,126.309998,7396700,0.6392633864636394,0.412697715541496,58.20718867949564,1.2707145000000009,116202400,0.0405262940351872,False,True
2020-01-23,124.300003,126.550003,123.650002,124.989998,11096500,0.5722784301853778,0.4446138584702724,59.38237825902304,1.3378574285714302,105105900,0.0642917937431044,True,True
2020-01-24,125.220001,126.790001,124.769997,125.139999,9508600,0.5252415393099881,0.4607393946382155,66.53743336407844,1.3628578571428582,114614500,0.0067026554288932,True,True
2020-01-27,124.75,126.389999,124.75,125.690002,9338400,0.526278499002359,0.4738472155110442,68.10343383728997,1.4221431428571438,123952900,0.0227403026811248,True,False
2020-01-28,125.93,126.980003,125.720001,126.029999,6200200,0.5482157238439527,0.488720917177626,76.23374887841018,1.418572071428572,130153100,-0.018410836270749,False,True
2020-01-29,125.910004,126.07,125.029999,125.059998,5271000,0.481776538476609,0.4873320414374226,65.64413956115845,1.3900005714285706,124882100,-0.0351471763987645,True,True
2020-01-30,124.790001,126.059998,124.419998,125.949997,5894400,0.4952297859696841,0.488911590343875,63.636344746180086,1.409286642857141,130776500,-0.0271893450656605,False,True
2020-01-31,125.989998,126.949997,124.459999,124.620003,6612900,0.3940300478406726,0.4699352818432346,53.64759902303008,1.514286714285713,124163600,-0.0405008652486791,True,False
2020-02-03,124.660004,125.949997,124.489998,125.110001,6052300,0.3493402923511013,0.4458162839448079,51.35455830388689,1.5407149285714266,130215900,-0.0397507765477169,True,False
2020-02-04,125.709999,127.349998,125.360001,125.660004,6512200,0.3542207483937289,0.4274971768345921,55.48023233425322,1.6492865714285696,136728100,-0.0673960497902198,True,True
2020-02-05,125.910004,127.059998,125.400002,126.809998,6125400,0.4457451769354748,0.4311467768547687,54.86826181657397,1.665714785714284,142853500,0.0056640245687665,True,True
2020-02-06,126.900002,128.089996,126.599998,127.139999,9102700,0.5386974992751732,0.4526569213388496,55.97764470522646,1.687142999999999,151956200,-0.0010532279207278,False,True
2020-02-07,127.190002,127.269997,126.050003,126.080002,5915100,0.5208262247632405,0.4662907820237278,48.29368113623184,1.6942852142857134,146041100,-0.0784315345128338,True,False
2020-02-10,126.459999,126.830002,125.760002,126.169998,5216100,0.5080683404617474,0.4746462937113317,50.42374003520772,1.6435704285714274,151257200,-0.0943694919862861,False,False
2020-02-11,126.269997,126.269997,124.029999,124.160004,6105700,0.3319414927558739,0.4461053335202402,40.42743449720034,1.7428561428571407,145151500,-0.1888743444133301,False,False
2020-02-12,123.68,123.970001,122.849998,123.449997,6031700,0.133528828681392,0.3835900325524706,42.74951424131016,1.6292850714285692,139119800,-0.1654760802522995,True,True
2020-02-13,123.730003,125.279999,123.519997,124.959999,7159000,0.0970116151907802,0.3262743490801326,49.24874703526362,1.6157134999999982,146278800,-0.1552346396055038,True,True
2020-02-14,125.290001,126.150002,124.790001,126.139999,5889100,0.1614267713996611,0.2933048335440383,51.78428868619408,1.5957136428571406,152167900,-0.1073753385938802,False,False
2020-02-18,125.830002,126.18,124.830002,124.870003,6767600,0.1087446428294214,0.2563927954011149,45.71640494056786,1.5999991428571425,145400300,-0.151772109809725,True,True
2020-02-19,124.849998,126.470001,124.650002,125.440002,4734000,0.1117002213817244,0.2274542805972368,51.445983936048655,1.6557132857142858,150134300,-0.1858299614395329,True,True
2020-02-20,125.470001,126.760002,125.129997,126.580002,6094600,0.2036830795479858,0.2227000403873866,52.35252387587404,1.6549993571428578,156228900,-0.1596596178864724,True,False
2020-02-21,126.129997,128.070007,125.980003,126.699997,8723900,0.2830004974326812,0.2347601317964456,58.53857583697575,1.6264283571428584,164952800,-0.1765461042234525,False,True
2020-02-24,125.260002,126.589996,123.139999,123.300003,7533900,0.0706941040667601,0.2019469262505085,44.00264864534598,1.7764282857142868,157418900,-0.1853705228236063,False,True
2020-02-25,123.019997,123.959999,120.879997,121.43,8903200,-0.245622473118118,0.1124330463767832,37.11148790083697,1.8364286428571432,148515700,-0.2401740545800543,False,True
2020-02-26,121.419998,122.389999,119.849998,120.160004,6894200,-0.5919599569738665,-0.0284455542933467,29.88505128257877,1.899286142857144,141621500,-0.2545828505633181,False,False
2020-02-27,119.120003,119.919998,113.43,113.5,13298900,-1.3878433764394913,-0.3003251187225756,20.166209222465355,2.2735722857142853,128322600,-0.2975825931362801,False,True
2020-02-28,109.459999,113.230003,106.669998,113.230003,22784300,-2.017121105349148,-0.64368431604789,20.88806321237317,2.674287142857142,105538300,-0.1524514155637676,True,True
2020-03-02,113.190002,119.790001,112.550003,119.559998,12399800,-1.982200965829932,-0.9113876460042984,38.32567254899701,3.115001285714285,117938100,-0.0399218968519529,False,True
2020-03-03,119.730003,121.839996,117.139999,118.169998,12510900,-2.043135888248443,-1.1377372944531274,39.18380535231724,3.2907155,105427200,-0.0746434115669027,True,False
2020-03-04,119.879997,124.690002,119.599998,124.5,9459300,-1.5626358999638228,-1.222717015555267,51.57610857982126,3.6628582142857136,114886500,0.0041321591775062,False,True
2020-03-05,121.300003,122.900002,120.279999,121.629997,9363500,-1.39731408692073,-1.257636429828359,45.19757205541255,3.833572428571427,105523000,-0.018784818000531,True,False
2020-03-06,118.029999,122.610001,117.550003,121.660004,9817400,-1.2494709218650826,-1.256003328235704,43.31742809835479,4.097857928571427,115340400,0.0304697410165898,False,False
