Size,Year 1,Year 2,Year 3
22,-41.07992699999984,-46.189974999999905,-13.839889999999812
26,46.91990699999998,42.90981500000005,56.73988599999991
21,37.100087000000045,26.070053000000044,30.060113999999814
25,60.27995700000001,79.25011099999999,144.82012000000006
24,9.280000999999785,30.26993300000011,22.580018000000265
23,60.460082999999926,66.11009700000007,123.38035000000006
27,42.90003899999998,43.4300370000001,39.81992400000006
28,10.660049,23.630003000000087,47.360012000000054
29,63.67997899999996,73.0697629999999,68.07978200000012
30,-7.299931000000171,-22.33005099999987,-4.860057999999711
33,-7.260000999999946,-13.110094999999902,-8.500125999999895
31,-9.57995700000005,-13.54994099999972,-5.059969999999666
32,-6.30000300000016,-17.370018999999886,12.219928000000138
34,-3.959919000000255,5.870112999999591,-21.459856000000528
35,13.379998999999756,19.989884999999916,-26.02000000000011
36,-10.940020999999959,-20.510087000000183,-42.639940000000095
37,39.759932999999634,51.909968999999805,-13.079972000000069
38,-34.2599910000002,9.229941000000153,-11.70012399999969
39,49.559984999999855,36.98983299999982,25.33990799999971
41,5.31995899999994,-4.150160999999898,-26.280131999999966
40,-32.05994900000012,-25.149986999999967,-50.69998
42,81.49997899999981,54.870004999999836,42.98009599999973
43,50.320156999999895,46.030164999999855,28.000147999999584
44,39.240062999999864,41.130076999999616,-1.3000120000003932
45,10.140096999999784,12.010056999999748,25.760055999999665
46,-10.159937,0.08998299999994686,-21.979866000000342
47,52.500008999999935,46.02994699999989,52.54017400000011
48,56.700091000000114,71.31007700000019,50.84007600000005
49,54.000096999999855,48.82995299999989,20.660075999999847
50,65.82007300000002,78.60992699999998,46.739904000000095
51,26.52003499999988,50.54982499999984,56.01993199999977
52,63.920088999999976,69.99011500000005,50.74019199999988
53,-10.839987000000221,-15.170021000000233,-6.999910000000412
54,73.80005299999989,112.60991299999971,111.28001999999982
55,55.440042999999875,68.50995899999982,53.440025999999776
57,29.41999899999975,39.48975099999963,33.17982199999956
56,58.280084999999715,52.289904999999735,28.919981999999848
58,32.93999700000002,43.19000500000017,34.060142000000056
59,53.36002900000001,64.38989099999982,71.91993799999968
60,61.740121,74.88993699999996,55.839970000000235
61,29.899982999999978,35.20991899999994,-7.07997799999994
62,28.920087000000095,43.429905000000005,43.77991800000031
63,56.25995899999985,42.309732999999866,4.359777999999906
64,-11.179992999999925,-0.9499829999998184,-41.279891999999634
65,-23.979966999999917,-34.59004499999993,-69.51997800000011
66,-26.339965000000078,-11.210127000000043,-35.80002399999982
67,-52.50004900000012,-59.49023900000033,-105.32020600000045
68,47.48008700000001,56.829985000000036,65.2199859999999
69,29.00002499999995,8.669876999999914,-28.120094000000122
70,67.46000299999993,67.28988899999986,64.73986599999988
71,71.97999899999989,68.21000499999992,40.82004999999991
72,34.700008999999895,42.489790999999954,8.619887999999875
73,69.25998700000018,92.60990300000033,92.73996000000041
74,47.88000700000005,51.70998099999987,52.85994199999975
75,24.760044999999977,30.589918999999824,15.040005999999622
76,13.099984999999904,31.569779000000025,7.1397160000000355
77,32.720015000000004,32.2499670000001,42.54002600000017
78,79.96001900000006,98.16996699999997,81.16008000000001
79,113.49994899999994,137.68993099999986,117.8399720000001
80,25.280170999999953,39.030053000000024,-3.619910000000047
81,79.8801049999998,108.75005699999973,76.41999199999971
82,68.66002499999998,97.58995099999991,94.63980600000004
83,-6.679947000000098,-5.569987000000438,-18.759954000000405
84,8.639993000000104,-16.090238999999983,-30.780255999999994
85,-0.5599669999997587,8.610097000000295,36.64016800000003
86,92.58001500000005,112.75003100000002,114.54006199999993
87,19.060006999999914,11.309977000000018,-14.320094000000054
88,30.719918999999877,54.669848999999815,10.619799999999785
89,48.94008099999995,41.309938999999744,35.26004399999972
90,-1.059963000000053,8.149912999999813,-40.84019600000026
91,25.039969000000085,4.069795000000099,-4.600146000000009
92,-8.900013000000015,36.23005899999988,32.70003999999982
93,33.41986499999986,63.34979099999994,28.799695999999855
94,-38.99997099999989,-42.730082999999624,-45.98006799999975
95,30.159855000000007,49.42977299999994,31.579701999999813
96,25.83992099999982,24.749988999999786,-27.379894000000135
97,-45.80003500000008,-41.81001499999989,-111.37990399999993
98,38.55998099999984,28.389862999999835,7.239973999999833
99,63.779996999999995,78.28989700000021,71.09990200000014
100,-18.139961000000184,-19.449876999999887,-55.079844000000165
101,26.740048999999956,42.53018100000001,9.840169999999986
102,37.280028999999885,49.250000999999926,37.37993599999997
103,41.360030999999836,48.99006099999984,4.300061999999528
104,8.840081000000012,28.14999900000022,-17.380077999999784
105,69.9200629999999,93.3500829999998,86.58001399999957
106,19.660111000000015,37.61017299999993,6.0202419999997545
107,2.919960999999958,22.809954999999988,5.339983999999973
108,39.860090999999855,40.28997299999999,31.73989999999999
109,27.17994099999983,7.30983699999986,-12.920126000000138
110,68.57996499999994,82.36989699999997,67.63994599999991
111,16.80001699999987,11.730026999999936,-5.360035999999965
112,60.320000999999834,63.66999699999995,24.599983999999935
113,35.36000299999985,50.310058999999924,34.5800439999998
115,14.919936999999763,25.769790999999756,-18.020122000000228
114,18.119936999999865,28.81006899999967,26.4201479999994
116,25.82001899999993,37.57008899999978,37.82015799999981
117,30.960046999999648,56.80987699999973,78.21980199999958
118,13.720008999999877,7.769936999999956,9.779933999999727
119,60.24009699999989,40.849940999999646,15.659825999999711
120,-7.299964999999943,-12.690029000000138,3.3600259999997064
