Date,Open,High,Low,Close,Volume,MACD,Signal Line,RSI,ATR,OBV,CMF,Buy
2019-07-12,181.350006,181.350006,178.919998,180.330002,7196700,2.136812522435406,1.357262895784544,73.5153455206305,2.3235712857142823,-500000,0.17309306277430914,True
2019-07-15,180.559998,181.070007,179.940002,180.570007,4490400,2.272902645396158,1.540390845706867,73.20440891991163,2.260714857142854,3990400,0.18078213161878035,False
2019-07-16,180.369995,180.880005,178.729996,179.309998,6800200,2.253110398195645,1.6829347562046226,80.48592366399706,2.1035722142857134,-2809800,0.1685060029244855,False
2019-07-17,179.559998,180.210007,179.009995,179.149994,3994200,2.199163328187325,1.7861804706011633,80.8542614828634,2.077145071428571,-6804000,0.14370270115552497,True
2019-07-18,178.630005,180.619995,178.580002,180.529999,4736300,2.241921283842487,1.8773286332494281,82.4720298943696,2.074288357142856,-2067700,0.1547702861787734,False
2019-07-19,181.839996,181.839996,179.139999,179.240005,5327100,2.146966641876105,1.9312562349747635,71.40706762554241,2.050716785714286,-7394800,0.04885506697732422,True
2019-07-22,179.639999,180.979996,179.139999,180.570007,4862100,2.154202148690189,1.9758454177178486,73.29585339041552,1.9821460000000002,-2532700,0.13922747144849243,True
2019-07-23,180.889999,181.270004,179.059998,180.899994,7193000,2.161645430112145,2.013005420196708,71.25565270380838,1.995717571428571,4660300,0.17119781165120268,True
2019-07-24,180.789993,183.429993,179.25,183.330002,8169300,2.3366897169229333,2.077742279541953,72.97297662527058,2.172145214285714,12829600,0.2956695281709599,False
2019-07-25,183.869995,183.990005,181.300003,181.589996,6085800,2.308399836596095,2.1238737909527816,65.81136352032216,2.184287928571428,6743800,0.29977669053923633,True
2019-07-26,182.410004,183.820007,182.210007,183.690002,5056300,2.4274506957520146,2.1845891719126285,71.7769630160966,2.2535737142857135,11800100,0.3442629998621131,False
2019-07-29,183.889999,184.070007,182.729996,183.210007,4621800,2.4547707056804313,2.238625478666189,66.95544495484629,2.164289071428572,7178300,0.26991573437222804,False
2019-07-30,182.539993,183.380005,181.270004,181.529999,5236600,2.3141829447334032,2.2537369718796323,56.826554967057575,2.1342892142857153,1941700,0.24469699326807556,False
2019-07-31,181.789993,182.050003,176.059998,178.0,7981200,1.8960680215443233,2.1822031818125707,42.53812534412388,2.445717857142859,-6039500,0.17090606701708985,True
2019-08-01,179.190002,182.399994,178.169998,179.169998,8417300,1.640210665523881,2.0738046785548327,46.96652086142557,2.586431142857143,2377800,0.10008199404078008,False
2019-08-02,178.0,178.270004,174.690002,177.419998,8264600,1.281459624020414,1.9153356676479492,42.36547311318779,2.8257162142857135,-5886800,0.09985306221250698,False
2019-08-05,172.009995,173.5,166.979996,168.860001,16858300,0.30293457869410645,1.5928554498571807,31.292528405558343,3.4178585714285696,-22745100,0.022718018087422347,True
2019-08-06,171.789993,172.949997,170.130005,172.479996,10281300,-0.17839381384010267,1.238605597117724,39.37560050971646,3.624285999999998,-12463800,0.04045768377211086,True
2019-08-07,171.5,175.729996,170.339996,175.320007,8292800,-0.32691639130891303,0.9255011994323967,42.070028845656815,3.8635722142857127,-4171000,0.09421433964582161,True
2019-08-08,177.460007,179.949997,176.570007,179.899994,7602800,-0.07419960281512772,0.7255610389828919,50.913100467988386,4.001428857142853,3431800,0.10991713325425094,False
2019-08-09,179.669998,180.100006,177.850006,179.050003,5373700,0.05683791070921984,0.5918164133281575,47.868754190270614,4.030714785714281,-1941900,0.10564622899293771,False
2019-08-12,177.440002,178.649994,175.600006,176.339996,7394400,-0.05732799078262474,0.46198753250600105,44.006313037578764,4.119285571428567,-9336300,0.07316800922030614,True
2019-08-13,174.389999,178.919998,174.210007,178.610001,6667700,0.03496212047909353,0.3765824501006196,43.76979886882274,4.157142571428567,-2668600,0.13587809836955939,False
2019-08-14,176.240005,177.25,173.160004,173.509995,7293500,-0.2999673264865521,0.24127249478318527,40.20368571730286,4.35428507142857,-9962100,0.11233007631124692,True
2019-08-15,174.259995,177.020004,173.520004,176.270004,6698000,-0.33878634816633735,0.12526072619328074,41.14558880275154,4.445713499999998,-3264100,0.1075132479261344,True
2019-08-16,178.0,178.75,177.199997,178.229996,8312200,-0.20898666032951496,0.0584112488887216,44.26001564545694,4.5271409999999985,5048100,0.15627440724180208,True
2019-08-19,180.419998,180.419998,178.119995,179.740005,5285000,0.015546424560653804,0.04983828402310805,47.928727434104026,4.540712571428569,10333100,0.15229358547124522,False
2019-08-20,179.429993,180.630005,178.490005,179.240005,3793600,0.1513994520437052,0.07015051762722749,51.543062200063815,4.265712214285713,6539500,0.11572108667326975,True
2019-08-21,180.690002,181.690002,180.240005,180.940002,3695900,0.3917239556039931,0.13446520522258062,52.17391763587556,4.126426714285714,10235400,0.06413180865450196,False
2019-08-22,181.949997,182.330002,178.610001,180.089996,6659900,0.5077415472184441,0.20912047362175334,53.35342526397635,4.072141357142856,3575500,0.08761232456528828,False
2019-08-23,179.550003,180.5,174.240005,175.229996,7051900,0.20515998455491058,0.2083283758083848,58.820260805762615,3.7735694285714283,-3476400,0.024257616419429934,True
2019-08-26,176.410004,177.669998,175.350006,177.589996,7754400,0.15401876042187723,0.19746645273108332,57.33141616561485,3.655712714285715,4278000,0.08102969777791137,True
2019-08-27,178.320007,179.190002,176.940002,178.380005,4022100,0.17521631119603853,0.19301642442407438,54.66462853770387,3.4314270000000016,8300100,0.11603766816047198,True
2019-08-28,176.990005,178.990005,176.029999,178.669998,4401900,0.21296065654675544,0.1970052708486106,47.84287098460527,3.31214242857143,12702000,0.16236572125262128,True
2019-08-29,180.399994,181.389999,179.309998,181.169998,4679200,0.4395357344534716,0.24551136356958284,53.51457672476683,3.34571392857143,17381200,0.22457964622307655,False
2019-08-30,181.990005,182.179993,179.669998,180.820007,4061200,0.5841233569222481,0.3132337622401159,58.057568813716905,3.27857092857143,13320000,0.19714686386743197,False
2019-09-03,180.520004,181.25,179.100006,179.199997,4644000,0.5615160143331366,0.36289021265872007,51.08654792250257,3.095714000000001,8676000,0.24016116184350933,True
2019-09-04,180.899994,182.199997,180.050003,181.770004,4154800,0.7424194694062294,0.43879606400822196,66.77498229794506,2.9207142142857134,12830800,0.21563674113993977,True
