Date,Open,High,Low,Close,Adj Close,Volume
2018-03-16,87.720001,90.089996,87.500000,89.169998,81.863281,28396000
2018-03-19,88.910004,89.080002,87.099998,87.449997,80.284225,12053400
2018-03-20,87.860001,88.150002,87.370003,87.949997,80.743279,8258000
2018-03-21,87.889999,89.680000,87.680000,88.180000,80.954445,11836000
2018-03-22,87.529999,88.269997,86.989998,87.139999,79.999641,12248200
2018-03-23,87.349998,87.690002,85.279999,85.419998,78.420563,10125100
2018-03-26,86.220001,87.690002,86.110001,87.500000,80.330139,9199800
2018-03-27,87.959999,88.040001,85.480003,86.050003,78.998970,6545800
2018-03-28,86.260002,88.239998,86.190002,87.769997,80.578018,11576300
2018-03-29,87.900002,89.339996,87.769997,88.970001,81.679703,9274600
2018-04-02,88.000000,88.239998,84.839996,85.550003,78.539940,19128900
2018-04-03,86.250000,86.949997,85.550003,86.800003,79.687500,9695500
2018-04-04,85.599998,87.500000,85.440002,87.220001,80.073090,6536600
2018-04-05,87.599998,88.349998,87.050003,87.809998,80.614731,6380900
2018-04-06,86.830002,87.900002,86.129997,86.690002,79.586517,6350000
2018-04-09,86.849998,87.449997,86.239998,86.279999,79.210106,8368100
2018-04-10,86.839996,87.099998,85.660004,86.449997,79.366188,9127400
2018-04-11,86.000000,86.860001,85.800003,85.910004,78.870445,6279000
2018-04-12,86.190002,86.830002,85.410004,85.430000,78.429764,6856300
2018-04-13,85.889999,86.269997,85.190002,86.019997,78.971428,7559200
2018-04-16,86.199997,87.650002,86.120003,86.839996,79.724228,7020700
2018-04-17,87.480003,88.169998,87.410004,87.900002,80.697372,6801900
2018-04-18,88.199997,88.559998,87.510002,87.570000,80.394402,5854000
2018-04-19,87.410004,88.040001,86.580002,87.889999,80.688194,6588300
2018-04-20,87.870003,88.379997,86.669998,86.980003,79.852760,8324900
2018-04-23,86.889999,87.080002,86.019997,86.099998,79.044868,7360500
2018-04-24,86.769997,86.910004,85.570000,86.529999,79.439636,8469700
2018-04-25,86.320000,87.699997,85.889999,87.169998,80.027176,6760400
2018-04-26,87.169998,88.320000,86.900002,87.940002,80.734093,5782500
2018-04-27,87.870003,87.900002,87.080002,87.290001,80.137352,5651100
2018-04-30,87.940002,89.660004,87.919998,88.459999,81.211487,8685900
2018-05-01,87.669998,88.010002,86.349998,87.410004,80.247513,6957700
2018-05-02,87.129997,87.250000,86.160004,86.339996,79.265198,6083000
