Stock,Mean,Median,Standard deviation,Minimum value,Maximum value,25th percentile,75th percentile,Odds
GOOGL,73.18,73.34,13.67,23.25,124.95,63.93,82.51,1.0
AAPL,-2.47,-2.58,17.97,-71.07,65.27,-14.89,9.71,0.4436
JNJ,-28.23,-28.18,12.41,-75.48,21.26,-36.56,-19.92,0.0107
KO,-20.82,-20.82,5.14,-40.16,-0.55,-24.27,-17.39,0.0
AAPL,-2.03,-1.87,18.00,-79.73,66.38,-14.05,10.04,0.4584
GOOGL,73.14,73.17,13.63,23.81,119.85,64.03,82.28,1.0
AMZN,0.07,0.23,20.89,-85.14,80.02,-13.89,14.00,0.5052
