Date,Open,High,Low,Close,Adj Close,Volume,MACD,Signal Line,Histogram,Upper Band,Lower Band,Buy,Predicted buy
2019-10-25,19.848,22.0,19.740667,21.875334,21.875334,450091500,0.910843999911556,0.4880535238842221,0.4227904760273339,19.990562529690827,13.963904370309171,False,
2019-10-28,21.836,22.722668,21.506666,21.847334,21.847334,283054500,1.1487277109082896,0.6201883612890357,0.528539349619254,20.946740000174337,13.586660199825666,False,
2019-10-29,21.332666,21.620001,20.983334,21.081333,21.081333,190264500,1.2609074307956618,0.7483321751903609,0.5125752556053009,21.52696936794733,13.483297332052674,False,
2019-10-30,20.866667,21.252666,20.664667,21.000668,21.000668,144627000,1.327993394459039,0.8642644190440965,0.4637289754149425,22.00524506680925,13.484221633190746,False,
2019-10-31,20.873333,21.266666,20.866667,20.994667,20.994667,76005000,1.3649410822926311,0.9643997516938034,0.4005413305988279,22.380514517259734,13.654885582740263,False,
2019-11-01,21.087999,21.098667,20.653334,20.887333,20.887333,95758500,1.369771560426727,1.0454741134403882,0.3242974469863391,22.65445741583653,13.926809284163468,True,
2019-11-04,20.986668,21.462667,20.617332,21.164667,21.164667,131805000,1.3800697007263558,1.112393230897582,0.2676764698287739,22.9414728899454,14.1714605100546,False,
2019-11-05,21.308001,21.567333,21.074667,21.148001,21.148001,104151000,1.371081272747702,1.164130839267606,0.206950433480096,23.171596766816464,14.45580353318354,True,
2019-11-06,21.200001,21.781334,20.966667,21.771999,21.771999,119113500,1.3981918175194394,1.2109430349179726,0.1872487826014668,23.46790777830202,14.70649242169798,True,
2019-11-07,21.942667,22.766666,21.868,22.369333,22.369333,217009500,1.4511490384372472,1.2589842356218277,0.1921648028154194,23.80076362100542,14.97896987899458,True,
2019-11-08,22.299999,22.497334,22.166668,22.476,22.476,91038000,1.4846114760402322,1.3041096837055086,0.1805017923347236,24.087567933772025,15.287165666227974,True,
2019-11-11,22.93,23.279333,22.799999,23.006001,23.006001,149800500,1.5361891183099168,1.3505255706263903,0.1856635476835264,24.44665166264521,15.515615337354795,True,
2019-11-12,23.126667,23.358,22.936001,23.328667,23.328667,110391000,1.5848322611900445,1.3973869087391213,0.1874453524509229,24.78979181808067,15.786075181919331,False,
2019-11-13,23.666668,23.755333,23.011999,23.073999,23.073999,126301500,1.5845668231480872,1.4348228916209145,0.1497439315271727,25.013517784624742,16.13808231537525,True,
