Size,Precision,Year 1 Balance,Year 2 Balance,Year 3 Balance
10,49.86449864498645,57.50131499999986,61.684758999999815,144.1978959999999
15,50.67750677506775,202.21726700000016,8.187383000000352,-38.75248799999969
20,49.38941655359565,155.62524900000003,200.2621490000002,269.66879800000015
25,48.9159891598916,-41.35476100000008,84.67527099999981,246.22213799999992
30,52.78154681139756,54.018666999999894,-119.08433900000017,-110.33089599999985
35,51.355013550135496,-112.90801900000011,-130.86481100000006,20.988614000000467
40,51.0840108401084,23.400033000000057,-9.53006100000016,182.12307599999997
45,51.69606512890095,2.9040870000001036,-92.61907899999943,-137.69922199999922
50,51.355013550135496,-37.16931699999999,-63.76594300000012,-129.62600199999986
55,54.0650406504065,-134.09326699999997,-230.14329499999997,-310.6833079999999
60,52.03252032520326,76.57343700000004,-18.723315000000156,-12.57029799999978
65,52.03252032520326,62.54403299999993,-6.845989000000344,-0.9594020000000683
70,56.30936227951153,-143.34135500000002,-485.7845090000001,-613.1244900000005
75,50.20352781546812,124.33599099999986,116.51241700000003,49.472414000000185
80,52.84552845528455,-62.81066499999994,-228.66747500000028,-454.44092999999987
85,51.01763907734057,19.445341000000184,-155.34466299999983,-145.5781779999997
90,50.135501355013545,-83.35601099999992,-83.93261300000012,-70.7726219999999
95,50.81300813008131,13.347997000000134,-225.59526699999992,-77.34867799999964
100,49.38941655359565,-27.341349000000008,68.56856299999967,43.575315999999845
