Date,Open,High,Low,Close,Volume,MACD,Signal Line,RSI,ATR,OBV,CMF,Buy,Predicted buy
2020-01-02,145.869995,146.020004,145.080002,145.970001,5777000,2.588759020420952,2.668983975769552,81.1486149491978,1.5278582142857149,52606800,0.1357979338392981,False,True
2020-01-03,143.5,145.369995,143.0,144.279999,5752400,2.3620471446616307,2.607596609547968,65.73877914521813,1.6450009999999995,46854400,0.1068602207026988,False,True
2020-01-06,144.0,144.199997,142.850006,144.100006,7731300,2.143147548044965,2.514706797247368,64.34602558802598,1.640714428571428,39123100,0.1232304528925465,True,False
2020-01-07,144.009995,145.449997,141.380005,144.979996,7382900,2.017420313680958,2.415249500534085,66.03019321741553,1.82642807142857,46506000,0.1751126821825593,False,True
2020-01-08,144.869995,145.979996,143.699997,144.960007,6605800,1.894330961245544,2.311065792676377,58.536674598812326,1.8278558571428565,39900200,0.1715375756578767,True,False
2020-01-09,145.759995,146.029999,144.990005,145.389999,6112700,1.8106069733118773,2.210974028803477,63.31723277695072,1.822855285714285,46012900,0.1948850669635415,False,False
2020-01-10,145.75,146.179993,144.899994,145.059998,5042600,1.6980526924714354,2.108389761537069,47.744869330446825,1.7221407142857126,40970300,0.1926714725525194,True,True
2020-01-13,145.479996,145.789993,144.720001,145.699997,4593200,1.641572162554013,2.0150262417404576,47.169788774061125,1.5814263571428555,45563500,0.2269965852349567,True,True
2020-01-14,145.050003,146.610001,144.729996,146.520004,7037500,1.6440273238716543,1.940826458166697,50.588252595232106,1.6142839285714286,52601000,0.2571518208832613,True,False
2020-01-15,146.399994,147.399994,146.240005,147.009995,4960300,1.6663031303299365,1.885921792599345,57.964672906238974,1.612854071428572,57561300,0.2939715761568902,True,True
2020-01-16,147.419998,148.839996,146.199997,148.199997,6476000,1.7596954102579048,1.8606765161310568,65.05721818514269,1.7285690714285724,64037300,0.2998650592802447,True,False
2020-01-17,148.410004,149.410004,147.929993,149.169998,9083600,1.890191488147224,1.8665795105342904,69.52062120817428,1.7621405714285725,73120900,0.3591714723498443,True,True
2020-01-21,148.580002,150.169998,148.5,149.270004,9543900,1.978869047882199,1.8890374180038725,73.60294108029633,1.797854857142858,82664800,0.3127987793835197,False,False
2020-01-22,146.699997,149.179993,146.0,148.25,10305300,1.9444267137955649,1.9001152771622112,63.43120522917492,1.9435697142857151,72359500,0.3796180011227444,True,True
2020-01-23,148.039993,148.770004,146.759995,148.529999,8671900,1.917619372687284,1.9036160962672255,64.15931856456265,2.0199987857142867,81031400,0.397453667286413,False,False
2020-01-24,148.580002,148.949997,147.929993,148.320007,9051900,1.8580117593097327,1.8944952288757275,76.71974979781665,1.8807132857142872,71979500,0.3397919396088907,True,True
2020-01-27,147.520004,149.460007,147.0,148.75,7587100,1.8244381504320584,1.8804838131869936,79.76961743495431,1.9542857142857155,79566600,0.3451362839166442,True,False
2020-01-28,148.460007,150.570007,148.149994,149.5,7336600,1.837171782787891,1.8718214071071733,79.42720133500424,1.8364300714285744,86903200,0.3561815262860849,True,True
2020-01-29,149.449997,151.190002,149.130005,150.539993,6288600,1.909174249359694,1.8792919755576776,82.06895877921576,1.820715642857144,93191800,0.375465363530836,False,True
2020-01-30,150.029999,150.509995,149.050003,150.360001,6470600,1.9294711305842327,1.8893278065629888,79.40836546358709,1.8507155000000008,86721200,0.3821740722973398,False,False
2020-01-31,149.75,150.0,148.639999,148.869995,8651700,1.804524093018472,1.8723670638540848,69.82311626917198,1.882144285714288,78069500,0.2993293132665295,True,False
2020-02-03,149.419998,150.490005,149.240005,150.169998,5765200,1.7897706807601708,1.8558477872353023,71.76244297827378,1.9214312857142877,83834700,0.3155585571429289,True,False
2020-02-04,151.490005,152.75,151.199997,151.600006,6541400,1.8718902047086767,1.8590562707299776,73.34561888384081,1.9714310714285728,90376100,0.2502269631059653,True,True
2020-02-05,151.720001,154.020004,151.309998,153.990005,5979900,2.105551971851128,1.908355410954208,77.3083376069385,2.0821465714285727,96356000,0.2538920163870296,False,True
2020-02-06,154.25,154.5,152.740005,153.529999,6201200,2.227929778337653,1.972270284430897,72.1161872006328,2.019289142857143,90154800,0.2452334876763695,False,True
2020-02-07,153.339996,153.460007,151.550003,151.889999,5700300,2.1675941021850638,2.0113350479817305,60.69182698963619,2.055002357142858,84454500,0.2299520133035837,False,True
2020-02-10,151.679993,151.910004,150.889999,151.860001,4835600,2.0932276311004614,2.0277135646054765,60.237147957315095,2.0085742857142868,79618900,0.288010621951611,True,False
2020-02-11,152.289993,152.380005,151.539993,151.990005,3715300,2.0214795454233467,2.0264667607690505,65.90139126783491,1.8350034285714296,83334200,0.2644572947332137,False,True
2020-02-12,151.869995,152.149994,150.919998,151.089996,5166800,1.8704342641045173,1.995260261436144,60.33924224412552,1.7792882142857158,78167400,0.1950047568093256,False,True
2020-02-13,150.160004,151.039993,149.880005,150.089996,5480200,1.6510063740216196,1.926409483953239,56.71977039350996,1.792858714285716,72687200,0.1573942178604583,True,True
2020-02-14,150.559998,150.639999,149.149994,150.130005,5716300,1.4634666496088755,1.8338209170843665,55.39906918819504,1.7235728571428592,78403500,0.1471593682221628,False,False
2020-02-18,150.470001,150.740005,149.059998,149.139999,7230700,1.2208812968682992,1.7112329930411532,48.61751118449542,1.6707152857142862,71172800,0.0560931993070105,False,True
