Size,Year 1,Year 2,Year 3
21,-26.640001999999754,-51.23997599999956,-35.570028999999636
25,35.58000199999998,40.800030000000106,91.73001299999976
22,-47.600121999999885,-34.420099999999536,-6.550024999999323
24,-12.699933999999729,-30.459911999999548,-19.469820999999655
26,-8.280079999999884,-18.060109999999952,15.589857000000336
23,8.620060000000024,30.080080000000237,43.45005500000008
27,-5.280023999999884,-46.40001999999956,4.290055000000308
28,33.26004200000014,32.88004000000038,48.21015700000035
29,-55.2999099999999,-55.539837999999804,-42.02981699999992
30,17.3000660000001,1.0799520000001905,26.770031000000273
32,34.37999000000016,14.159992000000244,28.609987000000302
31,13.599916000000178,5.10009400000024,-4.1498989999997775
33,-29.340051999999986,-17.02004999999994,-8.510151000000093
34,27.559958000000194,-3.320015999999754,24.789829000000196
35,-35.31990999999974,-38.38000199999945,-33.37000899999944
36,-6.700097999999798,-12.960103999999262,14.16981900000087
37,-11.520111999999756,-1.7000679999994759,45.14997700000049
38,-28.1401419999998,-48.38007599999969,-33.53005099999967
39,-40.30011399999972,-81.38004599999965,-38.33016299999974
40,-85.40010199999992,-129.08000999999976,-90.53000299999977
41,5.099868000000157,-13.879991999999703,4.969939000000153
42,-50.15995399999977,-73.51990199999986,-55.07000100000019
43,-50.73990799999996,-32.239799999999775,-18.169718999999873
44,-43.28006999999974,-33.77998599999955,35.6699530000007
45,-64.23985599999975,-79.87977799999948,-101.04975899999965
46,-25.840136000000115,-50.98018400000015,-41.09015699999995
47,-5.279861999999781,-11.099777999999588,36.09016700000032
49,-11.379903999999954,-1.3399599999998486,16.829943000000128
48,-26.719871999999725,-61.41976799999952,-2.6698469999996632
50,-20.739957999999945,-32.03974599999981,14.23010099999999
51,38.019980000000345,41.02000400000068,65.6099830000006
52,-47.99992199999994,-100.91975999999974,-116.28981099999973
53,-3.3200679999998215,-14.719981999999618,34.90998100000036
54,-35.57986599999998,-45.239859999999794,19.3700850000003
55,13.959978000000035,10.099982000000068,30.48997499999996
56,-37.18010199999986,-37.959955999999636,-19.170026999999607
57,24.359976000000216,9.52003400000038,49.35003500000053
58,-18.199981999999835,-67.50009799999961,-14.010044999999621
59,-50.26009599999975,-78.30002599999972,-55.649932999999635
60,17.68011800000025,-2.9399719999994716,4.850019000000344
61,-48.28012199999981,-59.86026199999961,-14.930224999999808
62,38.10000200000022,10.619870000000304,24.169747000000342
63,-13.12003799999988,0.8999420000000384,13.309897000000007
